season,player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,dribble_att,dribble_success,carries,prog_carry_dist,prog_carries,carries_final_third,carries_pen_area,targets,receptions,through_balls,pressured_passes,switches,crosses,fouls,fouled,recoveries,aerial_duels
1920,Walace,MF,Udinese,Serie A,1139,0,0,0,0,0,0.07,0.03,0.09,0.07,0.09,0.79,0.24,20.3,1.82,0.08,89.3,204,0.63,3.46,0.55,0,3.94,2.68,20.8,2.76,1.73,4.41,1.65,67,2.76,20.2,39.2,12,0.55,1.42,83.3,47.2,139,4.62,1.19,0.84,47.4,44.5,0.16,8.66,1.42,0.16,1.89,1.18,11.1,1.57
1920,Waldo Rubio,MF,Valladolid,La Liga,878,0,0.21,0.21,0,0.21,0.06,0.11,0.17,0.06,0.17,1.73,0.41,24.3,3.59,0.31,62.9,106.5,1.53,1.84,0.82,0.51,1.63,1.53,17.4,1.22,0.92,2.45,1.22,43.3,1.84,10.8,19.9,17.1,2.35,4.29,47.6,31.7,186.3,2.77,1.49,0.5,35.7,29.5,0.1,6.12,1.94,3.06,1.94,0.51,6.73,1.33
1920,Walter Benítez,GK,Nice,Ligue 1,2340,0,0,0,0,0,0,0,0,0,0,0,0,,0.08,0,83.3,345.3,0,0.04,0,0,0.04,0,0.15,0,0,0,0,32.4,29.8,32.3,0.19,0,0,0,,14.1,31.3,8.57,2.78,0.49,13.7,13.6,0,3.12,0.62,0,0,0.08,4.04,0
1920,Wayne Hennessey,GK,Crystal Palace,Premier League,270,0,0,0,0,0,0,0,0,0,0,0,0,,0.33,0,42.7,674.7,0,1,0,0,0,0,0,0,0,0,0,38.7,34.7,38,0.67,0,0,0,,12.3,35,5.13,2.56,0.9,12,12,0,1.33,0.67,0,0,0,2.33,0
1920,Wendell,DF,Leverkusen,Bundesliga,1903,0,0.09,0.09,0,0.09,0.01,0.07,0.09,0.01,0.09,0.52,0.05,27.2,1.42,0.33,85.4,430.5,0.71,4.74,0.33,0.05,4.69,3.51,14.9,2.23,1.04,4.55,3.65,101.3,2.99,30.9,61,15.9,0.57,0.66,78.6,66.3,168.7,7.78,2.59,0.74,68.4,66.1,0.19,14.3,1.18,0.95,1.47,1.14,12.9,2.94
1920,Wes Morgan,DF,Leicester City,Premier League,436,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0.63,0.21,10.3,1.24,0,92.4,215.2,0,0.63,0,0,1.67,1.04,6.25,1.25,0.42,1.46,6.25,60,4.58,28.5,31.7,1.67,0.83,0.42,100,39.4,67.9,5,1.67,0,41,40.4,0,4.58,0,0,0.83,0.21,8.96,6.05
1920,Wesley Fofana,DF,Saint-Étienne,Ligue 1,1215,0.07,0,0.07,0.07,0.07,0.05,0.01,0.05,0.05,0.05,0.44,0.07,7.7,0.52,0,83.5,237.6,0.15,1.93,0,0,2.22,2.07,10.3,1.63,1.56,3.63,6.81,60.9,7.7,35.9,26.6,3.11,0.89,0.59,75,36.7,159,3.26,0.85,0,35.9,35,0.07,8.67,0.67,0.15,1.04,1.19,10.8,6.75
1920,Wesley Lautoa,MF,Dijon,Ligue 1,1869,0,0.05,0.05,0,0.05,0.03,0.02,0.05,0.03,0.05,0.53,0,15,0.87,0.1,87.7,271.8,0.34,2.98,0.24,0,2.6,2.88,18.1,2.21,1.49,4.38,3.03,58.8,5.29,28.5,30.6,3.37,0.67,0.82,76.5,36.4,118.5,6.89,2.23,0.47,37.1,35.9,0.05,6.68,2.45,0.1,1.2,1.49,10.7,2.55
1920,Wesley Moraes,FW,Aston Villa,Premier League,1782,0.25,0.05,0.3,0.25,0.3,0.25,0.04,0.29,0.21,0.25,1.77,0.86,11.6,1.36,0.15,73.5,31,0.56,1.06,0.1,0,0.61,0.71,15.8,0.91,0.25,0.96,1.31,30.3,1.41,2.27,14.6,14.8,4.85,1.11,63.6,17.8,28.6,0,3.33,0,44.1,22.1,0,5.81,0.61,0.35,2.17,0.71,3.03,7.58
1920,Wesley Moustache,DF,Nantes,Ligue 1,45,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,74.1,372,0,2,0,0,0,0,12,6,0,0,10,68,6,28,40,4,0,0,,34,106,3.06,0.98,0,40,36,0,12,0,0,2,0,8,6
1920,Wesley Saïd,MF,Toulouse,Ligue 1,1160,0.16,0.08,0.23,0.16,0.23,0.18,0.1,0.28,0.18,0.28,1.94,0.78,17.3,2.25,0.16,82.1,122.3,0.85,2.4,1.09,0.23,3.02,1.16,16.1,1.16,0.39,1.55,0.78,41.3,1.16,6.98,22.1,15.7,3.02,3.33,72.1,30.7,149.4,2,0.79,0.03,39.8,29.6,0.08,6.12,0.62,1.24,0.85,0.62,6.12,2.17
1920,Weston McKennie,MF,Schalke 04,Bundesliga,2074,0.13,0,0.13,0.13,0.13,0.11,0.09,0.2,0.11,0.2,1.39,0.3,17.3,2.17,0.09,80.3,174,0.74,2.74,0.61,0.04,3.48,2.3,21.4,2.04,1.39,3.7,3.04,58.5,3.39,17.7,32,13.2,2.17,1.91,59.1,35.2,124.1,3.36,1.45,0.16,43,36.6,0.13,8.74,0.96,0.57,1.61,0.65,10.7,4.22
1920,Wilfred Ndidi,MF,Leicester City,Premier League,2674,0.07,0.03,0.1,0.07,0.1,0.06,0.01,0.08,0.06,0.08,0.91,0.07,17.8,1.31,0.13,85.9,189.6,0.3,4.61,0.13,0,2.42,4.21,25,2.39,1.65,5.86,2.79,69,3.47,19.3,43,10.1,0.71,1.01,80,41.2,70.8,0,0,0,43.8,41.5,0.03,10.3,1.68,0.07,1.89,0.91,14.5,4.68
1920,Wilfrid Kaptoum,MF,Betis,La Liga,194,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,1.36,0,26.1,0.93,0,83.1,92.7,0.45,2.27,0.45,0,1.82,2.73,19.5,1.36,1.36,4.09,2.73,46.4,1.82,14.5,26.4,8.64,0.45,0.91,100,30.9,110.5,7.78,1.11,0,35.5,30.9,0,6.36,0,0.45,0.45,1.36,5.91,3.18
1920,Wilfried Kanga,FW,Angers,Ligue 1,68,0,0,0,0,0,0.22,0.1,0.31,0.22,0.31,2.5,0,8.7,2.65,0,70.6,65,2.5,2.5,1.25,0,2.5,0,23.8,0,0,0,0,36.3,0,1.25,12.5,26.3,8.75,1.25,100,23.8,67.5,3.41,0.95,0.1,57.5,28.8,0,6.25,0,0,2.5,0,2.5,7.5
1920,Wilfried Singo,DF,Torino,Serie A,132,0.68,0,0.68,0.68,0.68,0.12,0.06,0.18,0.12,0.18,1.33,0.67,13.8,3.41,0.68,75.7,188,2,0.67,0.67,0,1.33,1.33,7.33,0.67,0.67,2,2.67,56.7,3.33,15.3,21.3,22.7,5.33,2.67,100,40.7,192.7,2.2,0.56,0.36,44,39.3,0,8.67,2.67,5.33,1.33,2,6.67,4
1920,Wilfried Zaha,MF,Crystal Palace,Premier League,3280,0.11,0.08,0.19,0.11,0.19,0.14,0.09,0.23,0.14,0.23,1.68,0.47,15.8,2.94,0.22,78.7,115.8,0.99,1.68,2.06,0.38,4.09,1.24,22.3,0.91,0.6,1.84,0.11,51.1,0.27,5.33,23.9,27.3,6.21,7.2,61.8,47.1,246.8,4.87,0.62,0.18,53.7,40.1,0.05,8.6,0.82,2.34,1.32,3.27,6.37,1.48
1920,Will Hughes,MF,Watford,Premier League,2252,0.04,0.04,0.08,0.04,0.08,0.1,0.05,0.15,0.1,0.15,1.08,0.12,18.1,2.04,0.12,73.6,149.1,0.88,2.48,0.92,0.16,2.92,3.2,27,2.64,1.24,4.44,1.2,50.4,1.92,9.8,25.4,18.5,2.04,1.24,80.6,29.6,99.3,5.77,2.62,0.38,33.6,27.7,0.08,6.84,1,1.28,2.12,1.84,10.7,2.12
1920,Willi Orban,DF,RB Leipzig,Bundesliga,856,0.11,0,0.11,0.11,0.11,0.07,0.01,0.07,0.07,0.07,0.74,0.32,15.7,1.37,0,89.3,437.1,0.32,4.11,0,0,4.63,2.32,10.3,1.79,0.95,3.26,8.11,75.3,10.1,40.5,35.5,2.63,0.74,0.42,75,44.6,135.7,2.42,1.1,0.55,48.8,46.5,0,7.37,0.74,0,0.63,1.16,11.4,6.11
1920,William,DF,Wolfsburg,Bundesliga,1364,0.07,0.07,0.13,0.07,0.13,0.09,0.11,0.21,0.09,0.21,1.12,0.39,19.1,1.85,0.13,71.8,361.3,1.05,4.34,1.32,0.66,6.25,3.55,23.2,2.5,1.58,5.13,3.42,73.9,2.89,20.1,34.2,23.6,2.04,2.63,55,51.1,134.7,6.49,2.13,0.14,58.5,55.7,0.1,7.47,2.32,0.1,1.72,0.81,8.48,2.83
1920,William Carvalho,MF,Betis,La Liga,892,0,0,0,0,0,0.05,0.08,0.14,0.05,0.14,0.61,0.2,21.1,1.41,0.1,89,251.3,0.81,5.76,0.61,0,4.14,1.01,10.6,1.31,0.2,1.21,1.31,70.9,2.63,15.8,49.1,11.4,0.61,1.72,88.2,37.9,118.2,2.73,0.75,0.05,36.1,35.4,0,8.64,2.18,0,0.18,0.45,12,3.55
1920,William Saliba,DF,Saint-Étienne,Ligue 1,992,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.27,0,14.7,0.36,0,88.1,285.4,0,3,0.09,0,3.09,2.36,8,1.55,1.45,3.82,4.45,60.1,7.73,31.5,29.7,2.73,0.36,1.27,71.4,36.1,149.9,6.69,1.67,2.7,43.9,39.8,0.23,8.64,1.36,0.91,0.45,1.36,9.55,5.45
1920,William Smallbone,MF,Southampton,Premier League,393,0,0.46,0.46,0,0.46,0.06,0.07,0.14,0.06,0.14,1.14,0,21.7,0.92,0.46,83.3,151.4,0.68,2.73,0.68,0.23,2.95,2.73,16.4,2.27,0.23,2.95,0.68,57,0.91,10.2,30.7,18.4,1.36,0.91,50,26,64.3,2.34,0.74,0,28.3,27.9,0,4.62,1.05,0.03,0.63,0.28,7.13,2.48
1920,William Troost-Ekong,DF,Udinese,Serie A,2576,0,0,0,0,0,0.02,0,0.03,0.02,0.03,0.17,0,14.7,0.38,0,82.1,254.6,0.07,2.03,0.1,0,1.68,1.22,8.78,2.03,0.66,1.89,5.56,46.3,10.3,30.7,18.5,0.84,0.35,0.14,100,43.8,114.4,2.73,0.91,1.82,46.1,42.5,0,10.9,1.36,0.63,2.15,0.99,10.8,1.58
1920,William Vainqueur,MF,Toulouse,Ligue 1,1715,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,0.89,0.16,27.1,1.42,0.16,90.3,168.9,0.42,2.62,0.26,0.1,2.41,3.35,20.1,1.52,1.26,4.61,1.62,62.8,2.3,15.8,40.6,9.63,0.63,1.83,85.7,41.7,95.7,0,0,0,43.9,38,0.07,9.74,1.58,3.09,1.97,0.99,9.47,2.37
1920,Willian,FW,Chelsea,Premier League,2600,0.31,0.24,0.55,0.17,0.42,0.25,0.24,0.48,0.14,0.38,2.32,0.9,18.9,5.12,0.48,77.9,178.7,2.46,2.46,2.35,0.42,4.98,1.49,18.2,0.76,0.55,2.04,0.38,66.7,0.69,7.23,27.4,37.8,4.81,2.98,72.1,22.7,238.5,4.91,1.72,0.18,42.4,26,0.04,6.23,0.85,0.45,1.21,1.12,3.9,3
1920,Willian José,FW,Real Sociedad,La Liga,2011,0.49,0.04,0.54,0.49,0.54,0.47,0.08,0.54,0.47,0.54,2.6,0.85,13.1,2.06,0.22,71.9,51.4,0.81,1.26,0.63,0,1.35,0.13,8.43,0.72,0.04,0.18,0.63,34.3,0.81,2.15,18.4,15.2,4.48,0.85,47.4,50.3,36.3,2.71,0.54,0.42,59.9,49.8,0.17,11.7,2.84,2.98,0.59,1.56,7.61,1.15
1920,Willy Boly,DF,Wolves,Premier League,1979,0,0.05,0.05,0,0.05,0.01,0.02,0.03,0.01,0.03,0.18,0.14,10.3,0.36,0.05,82.7,273.8,0.18,1.55,0.09,0,1.68,2.77,12.3,2.27,0.95,3.73,6.18,56.1,6.73,29.7,27.4,2.14,0.86,0.55,83.3,30.8,65.2,5.86,1.64,0.13,34,32.6,0.18,6.73,0.64,0,1.09,0.36,9.91,4.55
1920,Willy Caballero,GK,Chelsea,Premier League,450,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,73.3,435.4,0,0,0,0,0,0,0,0,0,0,0.2,35.4,33.2,35.4,0,0,0,0,,23.2,41.6,6.52,2.05,0.71,22,22,0,3,0.6,0,0,0,3.4,0
1920,Wissam Ben Yedder,FW,Monaco,Ligue 1,2164,0.75,0.17,0.91,0.62,0.79,0.55,0.29,0.84,0.45,0.75,2.63,1.42,12.8,3.7,0.54,75.5,107.2,1.88,2.17,1.5,0.17,3.38,0.79,19,0.79,0.25,1.04,0.08,44.3,0.46,3,20.9,24.3,6.58,2.33,66.1,33.3,125.8,3.85,1.41,0.86,52.4,34.3,0.58,8.83,0.38,1,0.42,0.71,5.21,2.25
1920,Wladimiro Falcone,GK,Sampdoria,Serie A,180,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,63.9,283.5,0,0,0,0,0,0,0.5,0,0,0,0,34,30.5,34,0,0,0,0,,14,16.5,8.85,1.15,1.54,10.5,10.5,0,1,0,0,0.5,0,6,0
1920,Wojciech Szczęsny,GK,Juventus,Serie A,2591,0,0,0,0,0,0,0,0,0,0,0,0,,0.1,0.03,86.2,302.9,0,0.03,0,0,0,0,0.03,0,0,0,0.07,28.8,25.6,28.6,0.28,0,0,0,,11.8,24.1,12.1,2.84,2.01,11.2,11.1,0,2.12,1.39,0,0.03,0.03,4.55,0
1920,Wout Weghorst,FW,Wolfsburg,Bundesliga,2739,0.53,0.1,0.62,0.39,0.49,0.5,0.08,0.57,0.4,0.47,2.7,1.15,11.5,2.73,0.3,65.2,60.8,1.22,1.71,0.56,0.07,2.01,0.49,25,0.89,0.1,0.59,0.82,39.1,0.95,2.5,20.1,17.9,5.69,1.55,59.6,21.9,42.4,7.37,1.89,1.16,52,29.7,0.07,9.21,0.26,0.3,1.55,1.35,4.51,7.6
1920,Wu Lei,FW,Espanyol,La Liga,1719,0.21,0,0.21,0.21,0.21,0.29,0.09,0.38,0.29,0.38,2.36,0.79,13.3,1.31,0.1,65.6,36.4,0.68,0.68,0.31,0.16,0.73,0.94,15.5,1.73,0.52,1.47,0.94,27,0.89,4.4,11.3,13,4.87,1.68,53.1,15.2,67.7,4.17,0.42,0.42,32.2,17.1,0,3.93,0.21,1.26,0.89,0.94,4.76,3.82
1920,Wylan Cyprien,MF,Nice,Ligue 1,1772,0.36,0.15,0.51,0.1,0.25,0.32,0.14,0.46,0.13,0.26,2.69,0.76,27.2,3.45,0.51,83.5,287.4,1.78,5.18,0.41,0.1,5.53,1.12,17.1,0.71,0.81,1.93,0.76,77.4,2.44,18.1,48,16.6,0.96,0.96,57.9,52.4,144.3,2.29,0.65,0.46,60.9,57,0,12.7,4.21,1.22,0.66,1.62,7.87,1.02
1920,Xabier Etxeita,DF,Getafe,La Liga,1446,0,0,0,0,0,0.02,0,0.02,0.02,0.02,0.43,0.12,11,0.31,0,56.8,121.6,0.06,1.12,0.06,0.06,1.68,1.37,8.7,1.3,0.43,1.8,9.81,36.1,3.98,15.7,19.2,1.86,0.68,0,,9.57,22.7,4.26,1.04,0.27,10.7,10.4,0,3.48,0.99,0.06,0.99,0.75,11.3,5.52
1920,Xaver Schlager,MF,Wolfsburg,Bundesliga,1719,0.05,0.1,0.16,0.05,0.16,0.08,0.11,0.19,0.08,0.19,1.68,0.42,22.2,1.88,0.21,78.2,147.8,0.73,3.04,0.47,0.05,3.4,2.93,24.2,1.68,0.63,3.56,1.05,48.6,1.2,9.27,30.9,13.1,1.83,1.47,85.7,33.8,121.3,5.67,1.38,0.04,34.2,28.7,0.05,8.27,0.99,0.42,1.73,1.26,12,2.15
1920,Xavi Quintillà,DF,Villarreal,La Liga,1573,0,0.11,0.11,0,0.11,0.01,0.08,0.09,0.01,0.09,0.17,0.06,22,1.83,0.17,81.7,271.5,1.09,2.23,0.97,0.51,2.51,1.43,11.7,1.83,0.4,1.83,2.51,66.9,3.83,20.6,31.4,18.6,0.4,0.34,66.7,39,88.5,8.78,2.2,1.22,45.5,42.9,0,7.2,1.49,3.6,1.49,0.69,7.03,2.12
1920,Xavier Chavalerin,MF,Reims,Ligue 1,2147,0.04,0.13,0.17,0.04,0.17,0.03,0.09,0.12,0.03,0.12,0.79,0.13,21.1,2.39,0.17,77.4,223.7,1.59,3.14,1.09,0.29,3.72,3.18,21.1,1.63,1.21,4.39,1.72,56.2,2.05,14.9,30.4,13.3,0.84,1.21,69,33.2,70,4.86,1.29,0.2,36.9,33.8,0.21,7.66,2.76,1.55,1.63,0.38,8.58,1.38
1920,Xeka,MF,Lille,Ligue 1,709,0,0,0,0,0,0.13,0.14,0.26,0.13,0.26,1.14,0.38,15,2.41,0.13,86.2,218.5,1.01,6.46,0.25,0,4.68,2.66,26.5,1.27,0.63,3.29,1.65,66.5,1.65,8.23,48.4,13.5,2.15,1.27,50,48.1,133.9,6.67,1.67,0,54.4,48.9,0.25,9.37,2.28,0.38,2.03,1.14,9.62,4.18
1920,Xherdan Shaqiri,FW,Liverpool,Premier League,185,0.49,0,0.49,0.49,0.49,0.28,0.11,0.38,0.28,0.38,1.9,0.48,19.5,1.95,0,82.6,251.9,1.43,5.24,1.43,0.95,6.67,0.48,18.6,0.48,0,0.48,0,61.4,0.48,8.57,31,23.8,1.43,1.9,50,42.9,63.3,6.18,1.91,0.19,56.7,45.7,0,10,1.43,1.9,0.48,1.43,8.1,3.33
1920,Ximo Navarro,DF,Alavés,La Liga,1903,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,0.33,0.05,20.8,0.28,0,75.8,225.5,0.14,2.13,0.14,0.05,2.37,2.23,12.7,2.32,1.23,3.46,4.83,53,5.12,22.2,26.4,7.2,0.62,1,66.7,24.1,76.5,5,2,0,24.9,22.9,0,6.64,1.04,0.71,1.37,1.52,10.9,3.12
1920,Xisco Campos,DF,Mallorca,La Liga,473,0,0.19,0.19,0,0.19,0.02,0.01,0.03,0.02,0.03,0.75,0,13,0.38,0.19,77.3,203.4,0.38,0.75,0.19,0.19,0.38,1.32,11.9,1.89,1.7,3.02,6.79,49.8,7.17,30.2,18.9,2.26,0.75,0,,23.4,38.9,1.03,0.41,0.22,27.5,26.8,0,4.91,1.89,0.19,1.51,0.57,8.68,5.29
1920,Yacine Adli,MF,Bordeaux,Ligue 1,1020,0.26,0.26,0.53,0.26,0.53,0.08,0.18,0.26,0.08,0.26,1.59,0.53,23.1,3.35,0.62,79.2,173.8,1.59,4.42,0.71,0,4.87,2.39,29,0.97,0.8,3.19,0.35,65,1.15,6.46,45.3,18.6,1.15,3.72,57.1,49,175.8,4.68,1.01,0.13,54.2,48.6,0.09,12.7,1.95,0.97,1.15,1.59,7.52,2.04
1920,Yan Brice Eteki,MF,Granada,La Liga,1499,0,0,0,0,0,0.03,0,0.04,0.03,0.04,0.42,0,19,0.9,0.12,79.2,88.2,0.18,2.16,0.12,0,1.86,1.98,24.3,1.44,0.84,2.81,1.62,34.9,1.74,8.08,22.1,6.29,0.24,1.2,65,21.2,45,4.49,1.11,0.07,18.9,16.5,0,6.41,0.48,0,3.05,1.92,10.7,3.06
1920,Yan Valery,DF,Southampton,Premier League,779,0,0,0,0,0,0.04,0.08,0.13,0.04,0.13,0.34,0.23,16.2,0.81,0,62.3,143.4,0.23,0.69,0.23,0.11,1.72,2.41,19.7,2.18,1.26,3.68,4.6,52.3,3.33,16,21.7,17.4,1.15,2.87,48,23.8,92.4,5.91,1.36,0,27.9,20.7,0,7.47,0.8,0.92,0.8,0.92,9.54,4.59
1920,Yangel Herrera,MF,Granada,La Liga,2368,0.08,0.11,0.19,0.08,0.19,0.08,0.05,0.13,0.08,0.13,1.29,0.15,21.5,1.9,0.34,75.8,155.9,0.72,3.08,0.46,0.11,3.76,3.08,28.3,2.17,0.91,3.99,1.52,47.8,2.02,10.3,31.3,8.82,0.99,1.03,77.8,30.1,62.8,5.82,1,2,31.5,27.3,0.11,8.97,1.18,0.19,3.46,2.13,11.3,4.64
1920,Yann Gboho,FW,Rennes,Ligue 1,226,0.4,0.4,0.8,0.4,0.8,0.09,0.07,0.17,0.09,0.17,0.8,0.4,13.3,1.99,0.4,73.1,51.2,1.6,0.4,1.2,0,2.4,1.2,25.6,1.6,0.4,1.6,0.4,37.2,0.8,2.4,18.8,20,2.8,4,70,32,152,5.85,2.23,0.53,44.8,27.6,0,6.4,0,0.8,3.2,3.2,4.4,4
1920,Yann Karamoh,FW,Parma,Serie A,573,0.16,0.16,0.31,0.16,0.31,0.1,0.14,0.24,0.1,0.24,1.72,0.63,18.5,4.08,0.47,71.8,57,1.56,0.78,0.47,0,2.19,1.25,21.4,1.25,0.31,1.56,0.63,38.1,0.63,4.69,17.3,18.3,2.97,4.06,57.7,28.9,99.8,2.5,0.96,0,38.1,27.3,0,5.94,0.16,0.78,1.09,2.19,5.63,1.57
1920,Yann M'Vila,MF,Saint-Étienne,Ligue 1,1942,0,0.09,0.09,0,0.09,0.02,0.04,0.06,0.02,0.06,0.42,0.14,21.9,0.88,0.09,86.4,294.2,0.51,4.81,0.14,0,3.94,1.57,13.9,0.97,1.3,2.87,2.87,63.1,3.56,21.9,40.6,4.03,0.23,0.37,75,38.9,82.7,0,0,0,44.2,42.2,0.19,7.59,2.45,0,0.69,0.74,12.1,2.41
1920,Yann Sommer,GK,M'Gladbach,Bundesliga,3060,0,0,0,0,0,0,0,0,0,0,0,0,,0.03,0,82.2,528.7,0,0.26,0,0,0.03,0,0.06,0,0.03,0.03,0.03,47.6,38.8,47.4,0.26,0,0,0.03,100,28.2,67,2.92,0.91,0.09,26.5,26.4,0,3.94,1.24,0,0,0.06,5.65,0
1920,Yannick Carrasco,MF,Atlético Madrid,La Liga,631,0.14,0.29,0.43,0.14,0.43,0.25,0.1,0.35,0.25,0.35,2.43,0.86,19.5,3.57,1,75,128.9,1.57,2.57,0.86,0,3.43,1.86,21.1,1.57,0.71,2.57,0.29,50.4,0.57,8,21.7,24.6,3.86,4.71,54.5,37,176.6,0.97,0.32,0,45.6,32.3,0,6.43,1.57,1.14,1.14,1.86,8.57,1.72
1920,Yannick Gerhardt,MF,Wolfsburg,Bundesliga,828,0.22,0,0.22,0.22,0.22,0.2,0.02,0.22,0.2,0.22,1.2,0.43,16.4,1.63,0,77.4,153.7,0.54,2.93,0.76,0,4.57,3.48,25.5,1.74,0.76,4.24,1.52,55.7,1.41,8.8,33.7,15.2,2.07,1.2,36.4,34.9,92.5,0.98,0.08,0,39.2,33.9,0.11,8.59,0.98,0.98,1.09,1.96,12.1,2.18
1920,Yannik Keitel,MF,Freiburg,Bundesliga,174,0,0,0,0,0,0.05,0.06,0.11,0.05,0.11,1.05,0.53,22.8,1.03,0,85.7,124.2,0.53,1.05,0,0,0.53,1.05,21.6,2.11,2.11,3.16,2.11,45.8,3.68,16.8,24.7,8.42,1.58,2.11,75,30.5,100,5,2.78,1.11,29.5,27.9,0,8.42,2.11,0.53,2.63,0.53,7.89,2.63
1920,Yannis Clementia,GK,Nice,Ligue 1,180,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,67.2,245,0,0,0,0,0,0,0,0,0,0,0,30.5,29,30.5,0,0,0,0,,14,42.5,10.5,1.5,2,8,8,0,2.5,1.5,0,0,0,6.5,0
1920,Yannis Salibur,MF,Mallorca,La Liga,82,0,0,0,0,0,0.02,0.1,0.12,0.02,0.12,1.11,0,34,4.39,2.2,85.7,172.2,2.22,2.22,3.33,0,3.33,0,13.3,1.11,1.11,1.11,2.22,58.9,1.11,6.67,28.9,30,7.78,3.33,66.7,45.6,224.4,4.34,1.51,0.28,57.8,48.9,0,8.89,1.11,4.44,3.33,4.44,4.44,2.22
1920,Yassine Benrahou,MF,Nîmes,Ligue 1,762,0.24,0.35,0.59,0.24,0.59,0.25,0.34,0.59,0.25,0.59,2.71,1.18,20.3,4.25,0.59,66,133.4,2.12,2.24,0.82,0.24,1.53,1.06,17.6,0.82,0.35,1.41,0.24,53.3,0.12,5.53,21.6,28.9,2.94,4.59,48.7,52.1,124.2,4.55,1.14,0.91,64.2,48.9,0,14.7,1.05,1.58,1.06,3.18,7.18,1.53
1920,Yassine Benrahou,FW,Bordeaux,Ligue 1,168,0,1.07,1.07,0,1.07,0.14,0.1,0.24,0.14,0.24,1.58,0,22.5,5.36,0.54,78.3,204.7,2.63,3.16,2.11,0,4.21,3.16,24.2,0.53,1.58,4.74,1.58,73.2,1.05,10.5,37.4,32.6,1.05,1.58,33.3,38.5,114.2,4.42,1.17,0,46.6,34.8,0.24,5.06,2.59,2.59,0.53,1.58,8.95,3.16
1920,Yassine Benzia,MF,Dijon,Ligue 1,173,0,0,0,0,0,0.07,0.23,0.29,0.07,0.29,2.11,0,24.7,2.6,0,74.1,122.6,2.11,3.68,0.53,0,2.11,1.58,27.4,1.58,1.58,3.16,0,55.8,0.53,4.74,40.5,17.4,0.53,4.21,37.5,44.2,137.9,4.39,1.52,0.15,48.4,40.5,0.53,10.5,1.05,1.05,2.63,4.21,6.32,3.16
1920,Yassine Bounou,GK,Sevilla,La Liga,495,0,0.18,0.18,0,0.18,0,0.05,0.05,0,0.05,0,0,,0.36,0.18,74.7,484.7,0.18,0.73,0,0,0,0,0,0,0,0,0,33.6,32.4,33.6,0,0,0,0,,15.3,18.4,7.62,2.55,0.77,13.3,13.3,0,2.91,0.55,0,0,0.18,5.45,0
1920,Yaya Sanogo,FW,Toulouse,Ligue 1,910,0.3,0.1,0.4,0.2,0.3,0.34,0.03,0.37,0.27,0.3,2.38,0.99,13,1.78,0.2,70.1,21.7,0.69,0.3,0.2,0,0.69,0.5,20.7,0.89,0.5,0.99,1.19,29.8,1.39,2.97,14.1,14.1,4.75,0.69,57.1,15.7,32.2,5.14,0.73,0.09,46.5,20.9,0,7.03,0.1,0.1,2.77,2.18,3.86,11.88
1920,Yeray Álvarez,DF,Athletic Club,La Liga,2810,0,0,0,0,0,0.04,0.02,0.05,0.04,0.05,0.38,0.06,13.9,0.61,0.03,81.9,270.4,0.1,2.31,0.26,0.1,2.69,1.25,7.12,1.86,1.09,2.34,8.46,58.2,6.35,29,31.1,2.21,0.64,0.42,84.6,31.8,113.8,3.33,3.33,0,33.2,32.7,0.03,4.87,1.6,0.35,0.58,1.03,10.4,4.78
1920,Yerry Mina,DF,Everton,Premier League,2284,0.08,0.04,0.12,0.08,0.12,0.1,0.01,0.11,0.1,0.11,1.18,0.39,9.6,0.59,0.08,85.5,283.6,0.16,1.97,0.04,0,2.4,1.69,9.02,1.46,0.59,2.28,7.01,61.9,10.7,37.2,26.2,2.83,2.01,0.2,60,36.4,134,8.43,2.23,2.06,39.4,38.1,0,8.35,1.97,0.16,0.79,0.51,11,6.89
1920,Yevhen Shakhov,MF,Lecce,Serie A,1085,0.08,0.17,0.25,0.08,0.25,0.07,0.17,0.24,0.07,0.24,1.07,0.33,21.1,2.57,0.58,83.3,80.7,1.24,1.32,0.58,0,1.65,2.81,23.6,1.24,0.99,3.8,0.91,43.7,1.65,9.34,23.5,13.2,2.4,1.9,73.9,28.7,76.5,4.72,1.48,0.14,39.5,29.3,0.08,6.94,0.83,0.08,1.74,0.83,7.02,3.8
