season,player,position,team,league,mins,goals,assists,goals_assists,npg,npg_assists,xg,xa,xg_xa,npxg,npxg_xa,shots,shots_on_target,shot_distance,sca,gca,pass_percent,prog_pass_dist,key_passes,pass_final_third,ppa,cross_pa,prog_pass,tackles,pressures,blocks,interceptions,tkl_int,clearances,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,dribble_att,dribble_success,carries,prog_carry_dist,prog_carries,carries_final_third,carries_pen_area,targets,receptions,through_balls,pressured_passes,switches,crosses,fouls,fouled,recoveries,aerial_duels
1920,Abdón Prats,FW,Mallorca,La Liga,279,0,0,0,0,0,0.44,0.03,0.48,0.2,0.23,2.9,1.29,15.1,0.65,0,63,46.8,0.65,1.29,0,0,1.61,0.65,15.8,0,0,0.65,0,36.8,0,1.29,18.4,18.4,7.1,1.61,40,22.6,41,0,0,0,55.8,28.7,0,10.3,0.97,0.32,2.26,0.65,4.19,11.93
1920,Abdou Diallo,DF,Paris S-G,Ligue 1,1201,0,0.07,0.07,0,0.07,0.06,0.01,0.07,0.06,0.07,0.38,0.15,6.3,0.75,0.07,92.9,520.6,0.23,6.32,0.38,0.08,5.41,1.28,11.3,1.65,0.6,1.88,3.01,87.9,7.14,33.4,57.3,5.49,0.6,1.58,81,67.2,253.3,4.29,0.95,2.86,69.4,68.1,0.08,8.57,0.98,0.45,1.8,0.53,9.25,2.11
1920,Abdoul Kader Bamba,FW,Nantes,Ligue 1,1468,0.06,0.18,0.25,0.06,0.25,0.12,0.29,0.4,0.12,0.4,1.17,0.55,20.2,4.35,0.37,79.2,168,2.33,2.02,1.35,0.31,4.05,1.72,18.8,1.47,1.23,2.94,0.31,58.9,0.55,8.04,30.7,25.5,3.07,6.01,56.1,49.3,221.8,2.31,0.38,0.38,54.1,43.2,0.12,10.5,1.23,1.9,1.23,2.94,7.91,1.47
1920,Abdoulaye Bamba,DF,Angers,Ligue 1,554,0,0,0,0,0,0,0.05,0.05,0,0.05,0.16,0,22.8,0.49,0,74.2,277.3,0.48,1.61,0.32,0.32,2.1,2.1,10,1.45,0.32,2.42,2.26,51.8,1.45,18.2,23.9,11.6,0.48,0.65,100,29.4,61.9,12,0,0,30.6,28.5,0,5.81,0.48,2.1,0.65,0.32,7.26,1.62
1920,Abdoulaye Doucouré,MF,Watford,Premier League,3156,0.11,0.06,0.17,0.11,0.17,0.15,0.08,0.23,0.15,0.23,1.77,0.34,16.7,2.4,0.17,78.5,137.3,0.94,3.42,0.94,0.11,3.11,1.99,27,1.68,0.63,2.62,1.28,58.8,2.19,12.1,31.7,18.9,2.79,2.22,62.8,40.7,112.9,8.05,3.01,0.27,46.1,39,0.06,9.91,0.68,0.77,1.45,0.43,12.5,3.02
1920,Abdoulaye Touré,MF,Nantes,Ligue 1,2221,0.12,0,0.12,0.04,0.04,0.12,0.03,0.15,0.06,0.09,1.34,0.32,25.4,1.74,0.08,84.8,169.7,0.69,4.7,0.36,0.08,3.93,1.46,16.4,1.58,0.77,2.23,1.3,65.7,1.7,13.2,44,12.2,0.97,1.98,77.6,45.9,103.6,0,0,0,50.5,47.5,0.08,11.4,1.62,0.36,1.26,2.15,10.9,2.84
1920,Abdul Majeed Waris,FW,Strasbourg,Ligue 1,371,0.49,0.24,0.73,0.49,0.73,0.44,0.17,0.61,0.44,0.61,1.71,0.49,13.8,1.46,0.49,73,58.5,0.73,0.24,1.22,0,2.2,2.2,12,0.73,0.98,3.17,0,38.3,0.24,5.85,18.5,18.8,2.93,4.88,45,32.2,178.5,0.43,0.43,0,41.2,28.3,0.24,3.41,0,0.98,1.95,4.88,5.12,1.46
1920,Abou Ouattara,MF,Lille,Ligue 1,9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,66.7,0,0,0,0,0,0,0,20,10,0,0,10,60,0,20,40,20,0,0,,30,310,5.02,1.69,0.25,30,20,0,10,0,0,0,10,30,0
1920,Achraf Hakimi,DF,Dortmund,Bundesliga,2715,0.17,0.33,0.5,0.17,0.5,0.13,0.15,0.27,0.13,0.27,1.26,0.66,15.9,2.69,0.6,84.3,338.5,1.16,3.71,1.42,0.43,6.49,1.89,15.4,1.79,0.79,2.68,1.03,93.6,1.75,18.7,47.8,33.3,3.71,3.87,56.4,68.6,246.6,2.7,0.73,0.09,77.5,68.6,0.2,11.6,1.79,2.95,0.79,1.66,9.11,1.3
1920,Adam Bodzek,MF,Düsseldorf,Bundesliga,2015,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,0.4,0.18,17.5,0.76,0.04,82.4,134.6,0.27,2.5,0.18,0,2.5,1.79,17.9,2.05,0.94,2.72,2.1,40.1,3.35,14.2,22.3,4.82,0.58,0.27,66.7,21.5,37.5,1.25,0,0,23.6,21.4,0,6.79,1.88,0.13,1.43,1.43,10.3,2.41
1920,Adam Idah,FW,Norwich City,Premier League,228,0,0,0,0,0,0.4,0.02,0.42,0.4,0.42,2.4,0.8,16.6,0.39,0,77.1,32.4,0.4,2,0,0,1.2,1.6,14.4,2.4,0,1.6,0.4,35.2,0.4,3.2,17.2,15.6,4,1.2,0,21.2,52,10,1.43,1.43,45.2,24.4,0,6.4,0,0,0.8,1.6,4.8,5.2
1920,Adam Lallana,MF,Liverpool,Premier League,382,0.24,0.24,0.47,0.24,0.47,0.25,0.16,0.41,0.25,0.41,1.19,0.24,15.3,2.12,0.24,84.8,188.1,1.19,5.48,0.95,0,4.29,4.76,31.4,3.1,1.43,6.19,0.71,79.3,1.67,12.4,42.4,30,2.86,1.43,33.3,56.2,124.8,8.24,2.43,0.95,65,56.2,0,11.4,0.95,1.19,1.67,1.9,12.1,4.29
1920,Adam Marušić,DF,Lazio,Serie A,942,0.19,0.1,0.29,0.19,0.29,0.15,0.05,0.2,0.15,0.2,1.05,0.57,12,1.53,0.38,84.9,148.8,0.76,0.48,0.76,0.48,0.67,1.43,13.8,2,0.76,2.19,1.14,47.3,2.76,14.8,16.7,18,2.86,1.71,50,29.8,78.6,1.04,0.09,0,31.9,28.2,0,4,0.67,1.52,0.76,1.05,6.29,2.47
1920,Adam Masina,DF,Watford,Premier League,1821,0.05,0,0.05,0.05,0.05,0.04,0.03,0.06,0.04,0.06,0.74,0.15,20.8,0.99,0.05,62.3,298.7,0.64,2.82,0.74,0.59,2.97,1.98,13,2.03,1.14,3.12,4.9,58.7,5.05,19.4,28.1,13.3,1.04,0.89,61.1,26.5,66.8,4.04,1.24,0.99,28.1,25.9,0,8.02,1.93,2.97,1.29,0.59,11.4,4.71
1920,Adam Ounas,MF,Nice,Ligue 1,1123,0.16,0.32,0.48,0.16,0.48,0.14,0.18,0.32,0.14,0.32,1.68,0.72,17.5,3.61,0.4,75.7,141,1.68,1.92,2.08,0.64,3.68,0.72,15.8,0.96,0.64,1.36,0.64,52.7,0.4,6.56,25.5,25,3.44,5.44,57.4,41.4,201.1,7.14,1.76,0.25,49,39.7,0.4,7.12,2.24,3.04,0.56,2.32,5.68,1.2
1920,Adam Smith,DF,Bournemouth,Premier League,2055,0,0.04,0.04,0,0.04,0.02,0.04,0.07,0.02,0.07,0.18,0.04,17.9,0.83,0.04,79.6,222.7,0.44,2.68,0.44,0.09,2.98,2.28,17.8,2.46,1.01,3.29,2.32,58.2,3.07,18.2,28.9,16.1,1.1,2.28,50,34.5,152.6,4.23,1.54,0,35,32.4,0.04,7.81,0.57,0.92,1.1,1.75,8.51,2.9
1920,Ádám Szalai,FW,Mainz 05,Bundesliga,1147,0.08,0.08,0.16,0.08,0.16,0.38,0.08,0.46,0.38,0.46,2.44,0.87,11.5,2.59,0.47,64.3,46.3,1.1,1.26,0.16,0,1.34,0.55,17.4,0.87,0.31,0.87,1.1,38,1.18,3.23,17.4,18.6,6.54,1.81,60.9,22.4,39.3,4.71,1,0,49.7,28.6,0.16,8.03,0.55,0.63,1.81,1.81,4.09,9.6
1920,Adam Webster,DF,Brighton,Premier League,2668,0.1,0.03,0.13,0.1,0.13,0.04,0.03,0.07,0.04,0.07,0.54,0.24,13.2,0.74,0.03,84.8,390,0.34,3.07,0.17,0.03,3.18,1.25,7.5,2.23,1.15,2.4,6.15,73.5,11.8,43.3,31.7,4.43,1.01,0.47,85.7,45.5,201,2.09,0.36,0,48.1,47.3,0.03,10.1,1.59,0.3,0.44,0.64,12.3,5.74
1920,Adama Soumaoro,DF,Genoa,Serie A,637,0.14,0,0.14,0.14,0.14,0.09,0,0.09,0.09,0.09,0.87,0.43,6.3,0.14,0,93.1,166.3,0,0.56,0,0,0.56,0.65,6.96,2.17,0.65,1.3,5.22,83.9,6.3,36.1,50.4,1.3,0.87,0.43,50,62.4,126.5,6.49,2.08,0.3,63,62.6,0,5.87,0.43,0,0.56,0,9.72,3.67
1920,Adama Soumaoro,DF,Lille,Ligue 1,415,0.22,0,0.22,0.22,0.22,0.16,0,0.16,0.16,0.16,0.28,0.14,7.5,0.22,0.22,96.5,391.7,0,1.74,0,0,0.87,0.85,6.76,1.83,0.42,1.27,6.34,54.5,10.4,29.6,25.5,1.13,0.7,0,,31.5,58.5,4.67,1,0,33.1,32.8,0,6.06,1.41,0,1.09,0,10.2,4.35
1920,Adama Traoré,FW,Wolves,Premier League,2605,0.14,0.31,0.45,0.14,0.45,0.12,0.23,0.35,0.12,0.35,1.52,0.36,24.2,3.42,0.52,65.9,97,1.73,1.56,1.56,1.11,2.21,0.54,15.7,1.16,0.09,0.63,0.63,54.3,0.8,5.63,31.2,21.9,0.89,3.39,78.9,43.3,118.1,6.27,2.18,0.28,48.2,36.2,0.1,8.89,1.25,5.12,1.35,2.66,5.92,3.42
1920,Adama Traoré,FW,Metz,Ligue 1,1007,0.09,0.36,0.45,0.09,0.45,0.11,0.37,0.47,0.11,0.47,1.49,0.42,19.6,5,0.36,80.9,184.6,3.04,3.57,1.25,0.09,4.2,1.42,14,0.97,0.28,1.7,0.83,48.4,0.97,5.22,23,26.5,4.08,7.3,73.9,30,300.2,0,0,0,43.3,30,0,13.3,0,0,0.63,2.95,8.13,2.59
1920,Adama Traoré,MF,Monaco,Ligue 1,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,83.3,70,0,0,0,0,0,0,3.33,3.33,0,0,0,50,0,20,26.7,6.67,0,0,,42.2,96.7,1.62,0.31,0.44,46.9,37.1,0.27,8.93,1.61,1.16,0,0,3.33,6.66
1920,Ademola Lookman,MF,RB Leipzig,Bundesliga,309,0,0,0,0,0,0.29,0.14,0.43,0.29,0.43,2.94,0.29,15.4,3.79,0,76.3,149.7,2.06,2.35,2.65,0.59,5.88,2.35,20,0.88,0.59,2.94,0,62.1,0.29,7.06,28.5,34.7,5.59,4.71,43.8,48.8,237.1,4.28,0.58,0,52.4,43.2,0,9.12,1.47,2.94,2.35,1.18,10,1.17
1920,Adil Aouchiche,MF,Paris S-G,Ligue 1,64,0,0,0,0,0,0,0,0,0,0,0,0,,1.41,0,77.4,81.4,0,1.43,0,0,1.43,2.86,41.4,4.29,0,2.86,0,57.1,0,10,32.9,17.1,1.43,4.29,100,40,70,5.45,0,0,51.4,41.4,0,2.86,1.43,0,1.43,0,8.57,0
1920,Adil Taoui,MF,Toulouse,Ligue 1,25,0,0,0,0,0,0.63,0,0.63,0.63,0.63,3.33,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13.3,0,0,3.33,10,6.67,0,,10,0,1.69,0.29,0,13.3,13.3,0,0,0,0,0,0,0,0
1920,Admir Mehmedi,MF,Wolfsburg,Bundesliga,1200,0.15,0.15,0.3,0.15,0.3,0.12,0.1,0.23,0.12,0.23,1.73,0.68,16.8,2.4,0.52,71.8,146.8,1.28,3.01,1.28,0.23,3.46,1.05,24.4,1.2,0.15,1.2,0.23,53.5,0.3,5.49,27.2,23.6,3.08,0.98,53.8,34.7,73.8,6,2,1,55,38.6,0.3,10.7,1.58,1.28,1.88,1.88,7.29,4.14
1920,Adnan Januzaj,FW,Real Sociedad,La Liga,1167,0.23,0.23,0.46,0.23,0.46,0.11,0.19,0.3,0.11,0.3,1.92,0.62,20.5,4.32,0.54,65.1,157.8,1.69,2,1.92,0.31,4.15,0.69,13.4,0.77,0.54,1.23,0.31,54.1,0.46,4.31,26,27.5,3.38,5,52.3,44.5,179.5,2.83,0.79,0,52.2,41.9,0.08,7.92,2.85,3.23,1.92,3,4.54,1.54
